([(53.45138231888283, -84.01987277286916), (52.83532861074346, -83.95621270101495), (51.93261341668727, -83.87511543960755), (0, 0), (54.028192520447384, -83.98964951646789), (50.751787375486245, -83.72797699876719), (42.26835355037706, -83.0051282615628)], (40.14431776805088, -13.14179336470881), (52.87324164404229, -83.84654411460997), '2020-05-20 01:00:10')
([(53.447745354259716, -84.01230163295651), (52.81493036219176, -83.94902665218622), (51.87229164445622, -83.86836337953999), (0, 0), (53.86841538018148, -83.98204162138974), (51.00186776424111, -83.71986984936389), (42.3634303277941, -83.0037664136526)], (40.19027342863746, -13.088399322253464), (52.8743856470295, -83.8392906197567), '2020-05-20 01:00:11')
([(53.64142363257082, -84.00562860363033), (52.52865046679882, -83.9418088154619), (51.824168415923744, -83.8615020450658), (0, 0), (53.95149565940576, -83.97531271393707), (50.98958795391548, -83.71223381309635), (42.29745284821917, -82.99925121017893)], (40.23620120504539, -13.034928396065814), (52.87541675702571, -83.83203471025593), '2020-05-20 01:00:12')
([(53.63207651092785, -83.99803135566565), (52.54774265254814, -83.93469903669771), (51.81674853202497, -83.85384462450448), (0, 0), (54.20943952015187, -83.96717627653338), (50.690884629786815, -83.7077966463205), (42.35956613437756, -82.98326494223905)], (40.28225404589449, -12.976695533493684), (52.877016161186624, -83.82032525787581), '2020-05-20 01:00:12')
([(53.76010960862835, -83.9911489524976), (52.896912919108466, -83.92674690849529), (51.78158809936643, -83.84703026143686), (0, 0), (54.219050376653506, -83.96025867686578), (50.69713500377122, -83.70025283103404), (42.40233824037557, -82.98622469211966)], (40.32812518018318, -12.92306925210067), (52.878164468937356, -83.81306452938514), '2020-05-20 01:00:13')
([(53.68023368286515, -83.98310882324041), (52.72917996082241, -83.91975659021527), (51.843904489839346, -83.8392081766396), (0, 0), (53.94429969438738, -83.95266370564568), (50.74717856481614, -83.69321251543688), (42.56368577879218, -82.97357795413605)], (40.37396817653319, -12.869365533317081), (52.87931421396493, -83.80580136508034), '2020-05-20 01:00:14')
([(53.66546629641371, -83.97618424666021), (52.70237809548181, -83.91313178138357), (51.63014408722562, -83.83322912184335), (0, 0), (54.07797370110591, -83.94547889883768), (50.62009265016851, -83.68711285873246), (42.38531978889728, -82.96755105680279)], (40.41978295023636, -12.815584192273104), (52.880465396515035, -83.79853576312564), '2020-05-20 01:00:15')
([(53.77696365887654, -83.96948718347117), (52.88137002285126, -83.90563715128066), (51.82973288235732, -83.82542531296973), (0, 0), (53.993906450877546, -83.93805991053559), (50.88400646667951, -83.67866474324495), (42.36482590523427, -82.97040937498836)], (40.46541887583973, -12.766414058546028), (52.88105116402856, -83.79571863245997), '2020-05-20 01:00:17')
([(53.767941777151385, -83.96239478921721), (52.8498976758398, -83.89910827209032), (51.94192329972645, -83.81776774107036), (0, 0), (54.210880221095906, -83.93103352845029), (50.67079849767595, -83.67329693060942), (42.444394869428656, -82.9645409607427)], (40.51117757460313, -12.71247795594042), (52.88220522426875, -83.78844809721004), '2020-05-20 01:00:18')
([(53.50208747882581, -83.95479333498211), (52.59323155361906, -83.89154678401168), (51.838039356289094, -83.81087337119561), (0, 0), (53.82097228128499, -83.92237965030692), (51.09433895621768, -83.66271700623567), (42.427449828924445, -82.97312541383755)], (40.55690779601734, -12.65846367583199), (52.88336072273464, -83.78117511882506), '2020-05-20 01:00:19')
([(53.63279604215571, -83.94748961351299), (52.84953800899582, -83.88398523285558), (51.772812533306706, -83.803867486175), (0, 0), (53.91145191661233, -83.9158819677573), (50.700821342088744, -83.65812139585807), (42.48437182783324, -82.94983809869224)], (40.60275811474592, -12.599678900378334), (52.88508450679008, -83.7694489421857), '2020-05-20 01:00:19')
([(53.80754607141183, -83.94037650787834), (52.69250231054753, -83.87686182610571), (51.62314565038491, -83.7971609561483), (0, 0), (53.952024152206214, -83.90811920888923), (51.09737100603489, -83.6481393756028), (42.6988807313268, -82.93984058925753)], (40.648430495232724, -12.545506666848604), (52.88624288057421, -83.7621711245179), '2020-05-20 01:00:20')
([(53.78098931232048, -83.93314515363066), (52.87230097380092, -83.86956742521225), (51.62969586072797, -83.78994148351153), (0, 0), (53.922493933459585, -83.9006573651327), (50.66247008822968, -83.64339484192949), (42.514903694716274, -82.9442799874548)], (40.69407413935556, -12.491255696748826), (52.887402693313874, -83.75489085821174), '2020-05-20 01:00:21')
